Zipcode,Heated_Area,Year_of_Measurement,Percentage_Renewable_Energy,CO2,Year_of_Construction,Utilization_mixed,Utilization_commercial,Utilization_residential,Utilization_other,Energy_Source_biomass,Energy_Source_district heating,Energy_Source_gas,Energy_Source_gas renewable,Energy_Source_elictricity,Energy_Source_elictricity renewable,Energy_Source_woodchips,Energy_Source_pellets,Energy_Source_solar panel,Energy_Source_oil,Energy_Source_heat pump,Canton_Aargau,Canton_Appenzell Ausserrhoden,Canton_Appenzell Innerrhoden,Canton_Basel-Landschaft,Canton_Basel-Stadt,Canton_Bern,Canton_Freiburg,Canton_Genf,Canton_Glarus,Canton_Graubuenden,Canton_Jura,Canton_Luzern,Canton_Neuenburg,Canton_Nidwalden,Canton_Obwalden,Canton_Schaffhausen,Canton_Schwyz,Canton_Solothurn,Canton_St. Gallen,Canton_Tessin,Canton_Thurgau,Canton_Uri,Canton_Waadt,Canton_Wallis,Canton_Zug,Canton_Zuerich
5000,513.6,2017,0.0,17.20219416,1993,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,513.6,2018,0.0,18.98957664,1993,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,513.6,2019,0.0,18.87380888,1993,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,513.6,2020,0.0,19.4963215,1993,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,2887.34,2011,0.4583,1.044199159,1956,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,2887.34,2012,0.4583,0.993103912,1956,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,2887.34,2013,0.4583,0.934192726,1956,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,2887.34,2014,0.4583,0.828191476,1956,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,2887.34,2015,0.4583,0.897790313,1956,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,2887.34,2016,0.4583,0.886342943,1956,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,2887.34,2017,0.4583,0.942436403,1956,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,2887.34,2018,0.4583,1.000336573,1956,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,2887.34,2019,0.4583,0.856603647,1956,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,2887.34,2020,0.4583,0.791613397,1956,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,2887.34,2011,0.0,9.199369487,1956,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,2887.34,2012,0.0,11.58005834,1956,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,2887.34,2013,0.0,10.98878464,1956,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,2887.34,2014,0.0,7.040186179,1956,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,2887.34,2015,0.0,11.12083051,1956,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,2887.34,2016,0.0,12.83788825,1956,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,2887.34,2017,0.0,11.64441953,1956,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,2887.34,2018,0.0,12.17421434,1956,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,2887.34,2019,0.0,14.27936915,1956,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
